disease_name,severity,medications,safety_tips,precautions,risk_level
Kidney Disease,Low,Ibuprofen; Steroids; Antihistamine; Antivirals,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Critical
Varicose Veins,Low,Steroids; Insulin; Antihistamine,Monitor symptoms regularly; Wear protective mask; Stay hydrated; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Avoid allergens,Low
Pneumonia,Moderate,ORS; Pain Reliever; Ibuprofen,Monitor symptoms regularly; Wear protective mask; Avoid crowded places; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Moderate
Pancreatitis,High,Ibuprofen; Bronchodilator; Antihistamine,Wear protective mask; Take adequate rest; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Carry emergency kit; Follow medication schedule,Low
Anemia,Low,Antivirals; Antibiotics; Antimalarial,Monitor symptoms regularly; Maintain hygiene; Stay hydrated; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Moderate
Measles,Moderate,Antihistamine; Steroids; Bronchodilator; ORS,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Follow medication schedule; Avoid heavy physical activity,Moderate
Depression,High,Steroids; Bronchodilator; Insulin,Carry prescribed medicines; Wear protective mask; Avoid extreme temperatures; Avoid crowded places,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Low
Malaria,Moderate,Insulin; Steroids; Ibuprofen,Take adequate rest; Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Low
Asthma,High,Paracetamol; Antibiotics; Steroids; Insulin,Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated; Maintain hygiene,Avoid allergens; Follow medication schedule; Consult doctor before travel,High
Vitamin B12 Deficiency,Moderate,Antihistamine; Antibiotics,Avoid extreme temperatures; Carry prescribed medicines; Monitor symptoms regularly; Wear protective mask,Use mosquito repellent; Avoid allergens; Follow medication schedule,Critical
Heat Stroke,High,Steroids; Antimalarial; Bronchodilator; Insulin,Take adequate rest; Maintain hygiene; Stay hydrated; Monitor symptoms regularly,Avoid allergens; Consult doctor before travel; Follow medication schedule,High
Polio,High,Antihistamine; Ibuprofen,Carry prescribed medicines; Avoid crowded places; Stay hydrated; Avoid extreme temperatures,Follow medication schedule; Consult doctor before travel; Carry emergency kit,Critical
Fungal Infection,Low,Steroids; ORS; Antibiotics; Bronchodilator,Monitor symptoms regularly; Avoid crowded places; Wear protective mask; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,High
Heat Stroke,Moderate,Antihistamine; Bronchodilator; Insulin,Monitor symptoms regularly; Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Moderate
Vitamin B12 Deficiency,High,Antimalarial; Antivirals,Avoid crowded places; Take adequate rest; Stay hydrated; Maintain hygiene,Follow medication schedule; Avoid allergens; Use mosquito repellent,High
Stroke,High,Bronchodilator; Antibiotics; Paracetamol; Steroids,Stay hydrated; Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly,Consult doctor before travel; Use mosquito repellent; Avoid allergens,Low
COVID-19,Low,Insulin; ORS,Avoid crowded places; Take adequate rest; Maintain hygiene; Avoid extreme temperatures,Avoid allergens; Carry emergency kit; Follow medication schedule,Critical
Cancer,Moderate,Bronchodilator; Ibuprofen; Antibiotics,Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures; Avoid crowded places,Carry emergency kit; Follow medication schedule; Use mosquito repellent,Critical
Kidney Disease,High,Antivirals; Bronchodilator,Take adequate rest; Monitor symptoms regularly; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Critical
Psoriasis,Low,Antibiotics; Ibuprofen; Antimalarial,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Monitor symptoms regularly,Avoid heavy physical activity; Avoid allergens; Carry emergency kit,High
Fungal Infection,Low,ORS; Antibiotics,Avoid crowded places; Wear protective mask; Take adequate rest; Maintain hygiene,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Moderate
Vitamin D Deficiency,Low,Antimalarial; Paracetamol; Pain Reliever,Avoid extreme temperatures; Monitor symptoms regularly; Maintain hygiene; Take adequate rest,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,Low
Bronchial Infection,High,Pain Reliever; Antivirals,Maintain hygiene; Carry prescribed medicines; Avoid crowded places; Stay hydrated,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,Critical
Polio,High,Insulin; Ibuprofen; Antibiotics; Pain Reliever,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Monitor symptoms regularly,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,High
Malaria,High,Antihistamine; Pain Reliever,Avoid extreme temperatures; Wear protective mask; Carry prescribed medicines; Take adequate rest,Consult doctor before travel; Follow medication schedule; Carry emergency kit,High
Heart Disease,Low,Steroids; Antibiotics,Take adequate rest; Monitor symptoms regularly; Avoid crowded places; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Low
Cancer,Moderate,Bronchodilator; Insulin; Ibuprofen; Antihistamine,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Maintain hygiene,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Moderate
Dengue,High,Bronchodilator; Antimalarial; Antibiotics; Steroids,Avoid crowded places; Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Low
Heat Exhaustion,Moderate,Pain Reliever; Paracetamol; Bronchodilator; Antibiotics,Maintain hygiene; Carry prescribed medicines; Wear protective mask; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Critical
Celiac Disease,Moderate,Insulin; Antivirals; Ibuprofen,Monitor symptoms regularly; Maintain hygiene; Take adequate rest; Carry prescribed medicines,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Low
Rabies,Moderate,Antimalarial; Steroids; Insulin,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Avoid heavy physical activity,Moderate
Heat Stroke,High,Pain Reliever; Antihistamine; Antibiotics; Ibuprofen,Carry prescribed medicines; Monitor symptoms regularly; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Moderate
Motion Sickness,High,Antihistamine; Antimalarial; Ibuprofen,Wear protective mask; Maintain hygiene; Stay hydrated; Take adequate rest,Carry emergency kit; Consult doctor before travel; Avoid allergens,Low
Tuberculosis,High,Antivirals; Antimalarial,Wear protective mask; Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,High
Bronchial Infection,Moderate,Bronchodilator; ORS; Insulin; Antivirals,Stay hydrated; Avoid crowded places; Avoid extreme temperatures; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Carry emergency kit,Low
Depression,High,Ibuprofen; ORS; Antivirals,Take adequate rest; Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,High
Insomnia,Moderate,Antibiotics; Antivirals; Antimalarial; Steroids,Avoid crowded places; Stay hydrated; Take adequate rest; Maintain hygiene,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,High
Measles,Low,Steroids; Pain Reliever,Wear protective mask; Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Moderate
Polio,High,Ibuprofen; ORS; Antibiotics; Antihistamine,Wear protective mask; Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly,Use mosquito repellent; Carry emergency kit; Follow medication schedule,Critical
Leprosy,High,Pain Reliever; Steroids; Bronchodilator; Insulin,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Wear protective mask,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Critical
Sleep Apnea,Low,Paracetamol; Antimalarial; Antivirals,Avoid extreme temperatures; Maintain hygiene; Stay hydrated; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Critical
Polio,Low,Bronchodilator; Steroids; Insulin,Stay hydrated; Avoid crowded places; Monitor symptoms regularly; Wear protective mask,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,Low
Heat Exhaustion,High,Paracetamol; Antivirals,Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines; Wear protective mask,Avoid heavy physical activity; Carry emergency kit; Consult doctor before travel,Low
Ulcer,Moderate,Pain Reliever; Antibiotics,Wear protective mask; Avoid extreme temperatures; Maintain hygiene; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Low
Measles,Low,Steroids; Antihistamine,Maintain hygiene; Stay hydrated; Take adequate rest; Avoid crowded places,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Low
Chickenpox,Low,Antibiotics; Pain Reliever; Antimalarial; Ibuprofen,Take adequate rest; Stay hydrated; Carry prescribed medicines; Wear protective mask,Avoid heavy physical activity; Consult doctor before travel; Use mosquito repellent,High
Measles,Low,Insulin; ORS; Paracetamol; Steroids,Monitor symptoms regularly; Maintain hygiene; Wear protective mask; Carry prescribed medicines,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Flu,High,Antivirals; Paracetamol,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,Critical
Diabetes,Moderate,Antivirals; ORS,Stay hydrated; Avoid extreme temperatures; Wear protective mask; Carry prescribed medicines,Consult doctor before travel; Avoid allergens; Carry emergency kit,Moderate
Pancreatitis,Moderate,Pain Reliever; Ibuprofen,Wear protective mask; Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Critical
Epilepsy,High,Antibiotics; Steroids; Antihistamine,Take adequate rest; Maintain hygiene; Avoid crowded places; Carry prescribed medicines,Avoid allergens; Consult doctor before travel; Follow medication schedule,Low
Fungal Infection,High,Antivirals; Paracetamol; Bronchodilator,Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated; Carry prescribed medicines,Avoid allergens; Follow medication schedule; Consult doctor before travel,High
Vitamin D Deficiency,High,Antihistamine; Bronchodilator; Antivirals,Carry prescribed medicines; Monitor symptoms regularly; Avoid extreme temperatures; Avoid crowded places,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Critical
Fungal Infection,High,Antimalarial; Antihistamine,Maintain hygiene; Wear protective mask; Avoid crowded places; Carry prescribed medicines,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,Moderate
Celiac Disease,Moderate,Bronchodilator; Insulin; Antihistamine; Pain Reliever,Avoid crowded places; Stay hydrated; Wear protective mask; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Avoid heavy physical activity,Moderate
Cholera,Low,Antivirals; Antihistamine,Avoid crowded places; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Follow medication schedule; Consult doctor before travel; Avoid allergens,Critical
Ulcer,Moderate,Bronchodilator; ORS,Maintain hygiene; Avoid crowded places; Take adequate rest; Wear protective mask,Follow medication schedule; Consult doctor before travel; Avoid allergens,Critical
Meningitis,Low,ORS; Bronchodilator,Stay hydrated; Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Sinusitis,High,Antibiotics; Antimalarial; Steroids,Avoid crowded places; Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures,Follow medication schedule; Use mosquito repellent; Carry emergency kit,High
Lyme Disease,Low,Antimalarial; Paracetamol; Insulin,Maintain hygiene; Monitor symptoms regularly; Avoid crowded places; Stay hydrated,Carry emergency kit; Follow medication schedule; Use mosquito repellent,High
Eye Infection,High,Pain Reliever; Ibuprofen; Bronchodilator; Paracetamol,Monitor symptoms regularly; Carry prescribed medicines; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Consult doctor before travel,Low
Stroke,Low,Antivirals; Antimalarial; Paracetamol,Carry prescribed medicines; Stay hydrated; Monitor symptoms regularly; Avoid crowded places,Use mosquito repellent; Avoid allergens; Follow medication schedule,High
Kidney Disease,High,Antihistamine; Antibiotics; Insulin; Steroids,Wear protective mask; Maintain hygiene; Carry prescribed medicines; Take adequate rest,Carry emergency kit; Use mosquito repellent; Avoid allergens,Moderate
Celiac Disease,High,Steroids; Insulin; Antimalarial,Carry prescribed medicines; Monitor symptoms regularly; Maintain hygiene; Stay hydrated,Carry emergency kit; Avoid allergens; Consult doctor before travel,Low
